Uniq.ID,Mother.ID,Child.Gndr,Child.mother.ID,marriage.info.,source
V2NH04403,V2NH04402,1,V2NH04403_V2NH04402,2,MR
V2NH04703,V2NH04702,1,V2NH04703_V2NH04702,2,MR
V2NH05301,V2NH03702,1,V2NH05301_V2NH03702,2,MR
V2NH05503,V2NH05502,1,V2NH05503_V2NH05502,2,MR
V2NH05901,V2NH05903,1,V2NH05901_V2NH05903,0,MR
V2NH06001,V2NH03902,1,V2NH06001_V2NH03902,2,MR
V2NH06103,V2NH06102,1,V2NH06103_V2NH06102,2,MR
V2NH06304,V2NH00402,0,V2NH06304_V2NH00402,2,MR
V2NH07103,V2NH07102,1,V2NH07103_V2NH07102,1,MR
V2NH07603,V2NH07602,1,V2NH07603_V2NH07602,1,MR
V2NH07604,V2NH05702,0,V2NH07604_V2NH05702,2,MR
V2NH08201,V2NH04402,1,V2NH08201_V2NH04402,0,MR
V2ZH00101,V2NH03102,1,V2ZH00101_V2NH03102,0,MR
