Uniq.ID,reporter.ID,marriage.info.,source,Gndr
V1AY01502,V1YX00401,2,SR,1
V1NH00501,V1OC01501,1,SR,1
V1NH01101,V1YX01904,2,SR,0
V1NHXXX07,V1OC01501,0,SR,1
V1OC00401,V1YX01402,0,SR,0
V1OC01002,V1OC01103,0,SR,0
V1OC01302,V1YX00802,0,SR,1
V1OC05302,V1YX00802,2,SR,1
V1OC06001,V1OC07101,0,SR,0
V1OC06902,V1OC06905,2,SR,1
V1OC08201,V1YX00101,2,SR,1
V1YX00201,V1NHXXX48,0,SR,1
V1YX01904,V1NH01101,2,SR,0
V2NH00101,V2NH03601,0,SR,1
V2NH00201,V2NH06002,0,SR,1
V2NH00403,V2NH01101,0,SR,1
V2NH00501,V2NH03302,0,SR,0
V2NH00702,V2NH03702,2,SR,0
V2NH01201,V2NH06304,0,SR,1
V2NH01402,V2NH08302,2,SR,0
V2NH01901,V2NH05504,1,SR,1
V2NH02402,V2NH08302,2,SR,0
V2NH02402,V2NH00501,2,SR,0
V2NH03001,V2NH08402,0,SR,1
V2NH03001,V2NH06002,0,SR,1
V2NH03103,V2NH08402,0,SR,1
V2NH03103,V2NH06002,0,SR,1
V2NH03604,V2NH04801,2,SR,1
V2NH04002,V2NH03501,0,SR,0
V2NH04004,V2NH01602,2,SR,0
V2NH04202,V2NH02402,0,SR,0
V2NH04403,V2NH00501,2,SR,1
V2NH05901,V2NH02502,0,SR,1
V2NH06101,V2NH00802,0,SR,1
V2NH06102,V2NH02402,0,SR,0
V2NH06304,V2NH07602,2,SR,0
V2NH07402,V2NH07102,0,SR,1
V2ZH00101,V2NH08402,1,SR,1
V1YX00401,V1YX00401,2,Sis_R,1
V1OC01501,V1OC01501,1,Sis_R,1
V1YX01904,V1YX01904,2,Sis_R,0
V1OC01501,V1OC01501,1,Sis_R,1
V1YX01402,V1YX01402,2,Sis_R,0
V1OC01103,V1OC01103,2,Sis_R,0
V1YX00802,V1YX00802,0,Sis_R,1
V1YX00802,V1YX00802,2,Sis_R,1
V1OC07101,V1OC07101,0,Sis_R,0
V1OC06905,V1OC06905,2,Sis_R,1
V1YX00101,V1YX00101,2,Sis_R,1
V1NHXXX48,V1NHXXX48,0,Sis_R,1
V1NH01101,V1NH01101,2,Sis_R,0
V2NH03601,V2NH03601,1,Sis_R,1
V2NH06002,V2NH06002,0,Sis_R,1
V2NH01101,V2NH01101,2,Sis_R,1
V2NH03302,V2NH03302,0,Sis_R,0
V2NH03702,V2NH03702,2,Sis_R,0
V2NH06304,V2NH06304,0,Sis_R,1
V2NH08302,V2NH08302,2,Sis_R,0
V2NH05504,V2NH05504,2,Sis_R,1
V2NH08302,V2NH08302,2,Sis_R,0
V2NH00501,V2NH00501,2,Sis_R,0
V2NH08402,V2NH08402,0,Sis_R,1
V2NH06002,V2NH06002,0,Sis_R,1
V2NH08402,V2NH08402,0,Sis_R,1
V2NH06002,V2NH06002,0,Sis_R,1
V2NH04801,V2NH04801,1,Sis_R,1
V2NH03501,V2NH03501,0,Sis_R,0
V2NH01602,V2NH01602,2,Sis_R,0
V2NH02402,V2NH02402,1,Sis_R,0
V2NH00501,V2NH00501,2,Sis_R,1
V2NH02502,V2NH02502,0,Sis_R,1
V2NH00802,V2NH00802,1,Sis_R,1
V2NH02402,V2NH02402,1,Sis_R,0
V2NH07602,V2NH07602,2,Sis_R,0
V2NH07102,V2NH07102,0,Sis_R,1
V2NH08402,V2NH08402,0,Sis_R,1
